booking_reference,booked_at,route_id,status,departure_date,departure_time,passengers,cancellation_reason,decline_reason,payment_type,operator_id,operator_name,total_price,paid_cost,distinct_route,line_id,is_refundable,is_supplier_api,online_cancel_timestamp,approved_timestamp,decline_timestamp
BW790156,2023-01-31,halong-bay-to-ninh-binh,canceled,2023-02-04,12:30:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5a69cc832241b10005c277c1,The Long Travel,21.72,0,halong-bay-to-ninh-binh,5a69df6daaa0ed0008a83563,TRUE,FALSE,2023-01-31 02:11:05.282000 UTC,,
BW789943,2023-01-31,sapa-to-ninh-binh,canceled,2023-02-01,16:30:00,1,online cancel - I found a cheaper trip elsewhere,,digital wallet,5a69cc832241b10005c277c1,The Long Travel,19.48,0,ninh-binh-to-sapa,5d89c2e4bf7f4c154e85b0a5,TRUE,FALSE,2023-01-31 07:35:03.505000 UTC,2023-01-31 00:39:41.864000 UTC,
BW792261,2023-01-31,ninh-binh-to-hoi-an,canceled,2023-02-21,20:30:00,4,online cancel - My plans changed,,credit card,5a97c3ead494be00013a5983,Queen Cafe Bus,83.7,6.83,hoi-an-to-ninh-binh,5a981b0700f88e0001ac1ef7,TRUE,FALSE,2023-02-05 15:54:38.728000 UTC,2023-02-01 01:34:15.387000 UTC,
BW791692,2023-01-31,halong-bay-to-ninh-binh,canceled,2023-02-01,12:00:00,1,online cancel - I found a cheaper trip elsewhere,,credit card,5ab0803bd494be00013a59e2,Rosa Eco Bus,19.79,0,halong-bay-to-ninh-binh,637e01096354d064e69bbadc,TRUE,FALSE,2023-02-01 00:40:15.770000 UTC,,
BW792045,2023-01-31,koh-phangan-to-koh-samui,canceled,2023-02-03,16:00:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5ab45a22d494be00013a59f1,Seatran Discovery,22.74,0.12,koh-phangan-to-koh-samui,5ae62e7a4120a90001e5cabe,TRUE,FALSE,2023-02-02 07:14:17.329000 UTC,2023-01-31 16:05:27.044000 UTC,
BW790830,2023-01-31,koh-phangan-to-koh-samui,canceled,2023-02-03,10:30:00,2,online cancel - My plans changed,,credit card,5ab45a22d494be00013a59f1,Seatran Discovery,23.94,0.24,koh-phangan-to-koh-samui,5ae62e7a4120a90001e5cabe,TRUE,FALSE,2023-02-01 09:29:41.820000 UTC,2023-01-31 07:06:29.245000 UTC,
BW791566,2023-01-31,koh-samui-to-koh-phangan,canceled,2023-04-01,13:00:00,1,online cancel - I found a cheaper trip elsewhere,,credit card,5ab45a22d494be00013a59f1,Seatran Discovery,17.98,0.61,koh-phangan-to-koh-samui,6315e691ac702d8cccf7dc68,TRUE,FALSE,2023-03-29 02:26:21.494000 UTC,2023-01-31 12:45:25.004000 UTC,
BW792273,2023-01-31,koh-samui-to-koh-lanta,canceled,2023-07-26,9:00:00,4,,departure_does_not_exists,credit card,5ab45a22d494be00013a59f1,Seatran Discovery,125.08,-0.66,koh-lanta-to-koh-samui,5ae88c1c4120a90001e5d2e0,TRUE,FALSE,,,2023-04-17 06:27:52.559000 UTC
BW790226,2023-01-31,phuket-to-koh-samui,canceled,2023-02-01,6:30:00,1,,pickup_location_not_supported,paypal,5ac954add494be00013a5a5a,Phantip Travel,29.45,0,koh-samui-to-phuket,62b31383ced44b222b6d1f07,FALSE,FALSE,,,2023-01-31 10:44:40.834000 UTC
BW791294,2023-01-31,koh-samui-to-krabi,canceled,2023-02-03,14:00:00,2,online cancel - My plans changed,,credit card,5ac954add494be00013a5a5a,Phantip Travel,50.1,38.08,koh-samui-to-krabi,62da749fed65d9e6d1d2f4b8,FALSE,FALSE,2023-02-03 02:35:13.012000 UTC,2023-02-01 08:30:08.555000 UTC,
BW790215,2023-01-31,koh-samui-to-krabi,canceled,2023-02-01,10:00:00,1,online cancel - My plans changed,,credit card,5ac954add494be00013a5a5a,Phantip Travel,26,0,koh-samui-to-krabi,62da75e1ed65d9e13ad30b26,FALSE,FALSE,2023-01-31 04:36:23.902000 UTC,,
BW790317,2023-01-31,koh-samui-to-ao-nang,canceled,2023-02-01,6:30:00,3,,pickup_location_not_supported,credit card,5ac954add494be00013a5a5a,Phantip Travel,91.42,0,ao-nang-to-koh-samui,62da7b7faecc917db8e134aa,FALSE,FALSE,,,2023-01-31 11:02:45.784000 UTC
BW791748,2023-01-31,manila-to-banaue,canceled,2023-03-24,22:00:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5af92c54b30fdb0001f3c655,Ohayami Trans,35.76,0,banaue-to-manila,5af94671fcb6f50001771f7f,TRUE,FALSE,2023-01-31 14:10:47.627000 UTC,,
BW791732,2023-01-31,manila-to-banaue,canceled,2023-02-01,22:00:00,2,online cancel -,,credit card,5af92c54b30fdb0001f3c655,Ohayami Trans,35.76,0,banaue-to-manila,5af94671fcb6f50001771f7f,TRUE,FALSE,2023-01-31 13:59:01.630000 UTC,,
BW791384,2023-01-31,pattaya-to-bangkok,approved,2023-02-01,12:30:00,1,,pickup_location_not_supported,credit card,5b028912b30fdb0001f3c689,Bangkok Taxi 24,60.66,55.09,bangkok-to-pattaya,5b0d8927e4ae39000130c0e0,TRUE,FALSE,,2023-01-31 13:30:54.694000 UTC,2023-01-31 12:29:35.255000 UTC
BW792041,2023-01-31,chumphon-to-krabi,canceled,2024-01-01,11:00:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5b068517df3f6d0001d6b4d1,Fame Tours & Services,45.84,3.93,chumphon-to-krabi,5b0bc565803c1c0001ca20eb,TRUE,FALSE,2023-02-01 03:34:37.721000 UTC,2023-02-01 03:17:50.671000 UTC,
BW791383,2023-01-31,bangkok-to-chumphon,canceled,2023-02-03,11:30:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5b0f99e1df3f6d0001d6b508,Choke Anan Tours,46.8,0,bangkok-to-chumphon,5c73e67c6480389b4e886ed2,TRUE,FALSE,2023-02-01 22:50:26.337000 UTC,,
